SA,ZA,ZEE,ZB,ZC,ZD,ZE,ZF,ZH,ZJ,ZL,OAJ,ZX,ZHS,ZCC,TSS,ZAF,AA,AD,ADE,AB,CR,AC,CX,RW,AX,AO,BW,BX,WL,WN,PY,AF,FK,JB,WV,AS,AZ,GRB,CB,FV,AH,AU,BB,BD,BF,OB,WM,PX,AE,FH,JA,WU,GRA,CA,FU,CY,CC,AG,AT,BA,BC,BE,OA,AM,FL,GB,FX,FJ,GA,FW,ZO,ZG,QA,QB,QC,A1
,,,,,,,,,,,,,,,,,b7NkmSh2,1777479000,1777479000,3,3,3,Chou T. Ch.,0,0,1777483934,0,-1,,ANT,GMQqJqeP,Antonsen A.,Antonsen A.,ngqA6Fp9,antonsen-anders,2,2,0,63,Denmark,2,2,21,13,21,ALPM8d86-IL3mjpHB.png,CHO,C0M90JJT,Chou T. Ch.,Chou T. Ch.,KniOrCh2,chou-tien-chen,0,218,Taiwan,218,Taiwan,1,1,14,21,15,zeFeUbBN-IL3mjpHB.png,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,zRyXPSVH,1777479000,1777479000,3,3,3,Huang H.,0,0,1777483299,0,-1,,OLD,hdXbT6ek,Oldorff J.,Oldorff J.,hQdILUrp,oldorff-joakim,1,1,0,76,Finland,1,1,21,12,13,b18GZble-Ug0RtBqM.png,HUA,tUNv8gSR,Huang H.,Huang H.,dfBnRjLM,huang-harry,0,198,England,198,England,2,2,16,21,21,t2V3hXlC-Gv0EOyv9.png,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,buBiam4m,1777479000,1777479000,3,3,3,Yoo T. B.,0,0,1777481397,0,-1,,BJO,fmaAE2qS,Bjorkler G.,Bjorkler G.,SnXeu7Mj,bjorkler-gustav,1,1,0,181,Sweden,0,0,11,14,,zDANisiT-0II4MG5n.png,YOO,xIiOnrBc,Yoo T. B.,Yoo T. B.,d4tQpTbT,yoo-tae-bin,0,106,South Korea,106,South Korea,2,2,21,21,,men,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,vmYCle1k,1777483800,1777483800,3,3,3,Kayan C.,0,0,1777485979,0,-1,,KOL,M1Y8Jiqm,Koljonen K.,Koljonen K.,MukUi99k,koljonen-kalle,2,2,0,76,Finland,2,2,21,21,,CWhttgme-KdIXNQDa.png,KAY,rNHwBhFr,Kayan C.,Kayan C.,jcbbcVoS,kayan-cholan,0,198,England,198,England,0,0,10,10,,S8vmPS86-dUDaSyWh.png,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,vLw6AxO8,1777484400,1777484400,3,3,3,Choi J.,0,0,1777486633,0,-1,,LIN,fFXe1ZSI,Linell K.,Linell K.,pjl168Or,linell-kim,1,1,0,181,Sweden,0,0,7,17,,men,CHO,Oxu0Thdl,Choi J.,Choi J.,E7cVBU0L,choi-ji-hoon,0,106,South Korea,106,South Korea,2,2,21,21,,AZEL6tQq-GSo1BaXM.png,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,A70whU7s,1777486500,1777486500,3,3,3,Dalvi N.,0,0,1777488676,0,-1,,MEL,tOLTiYRJ,Melleri E.,Melleri E.,4KpH2QN7,melleri-eliel,1,1,0,76,Finland,0,0,16,12,,men,DAL,WpCOSawD,Dalvi N.,Dalvi N.,I3n94nge,dalvi-nadeem,0,198,England,198,England,2,2,21,21,,xnAld9le-zeaZ8d1B.png,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,CEoKnZV1,1777487100,1777487100,3,3,3,Lin Chun-Yi,0,0,1777491543,0,-1,,JOH,YcuONiPT,Johannesen M.,Johannesen M.,6sfNDjW8,johannesen-magnus,2,2,0,63,Denmark,2,2,21,16,21,0jUrTZQq-6HM6nQNc.png,LIN,6qDZ6CZ3,Lin Chun-Yi,Lin Chun-Yi,Em7yjmv2,lin-chun-yi,0,218,Taiwan,218,Taiwan,1,1,17,21,19,rF1VcliT-2ZO7QzA8.png,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,OU6gln76,1777489800,1777489800,3,3,3,Cho H. W.,0,0,1777491618,0,-1,,MOR,jX7rzC2T,Mork T.,Mork T.,tKUlHPx1,mork-tim,1,1,0,181,Sweden,0,0,10,12,,men,CHO,f9EZiBe4,Cho H. W.,Cho H. W.,zNRtJo8l,cho-hyeon-woo,0,106,South Korea,106,South Korea,2,2,21,21,,men,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,IX3oj8xf,1777495500,1777495500,3,3,3,Chi Y. J.,0,0,1777499391,0,-1,,HOL,MBNBW9gO,Holm J.,Holm J.,4vyBO7pR,holm-ditlev-jaeger,1,1,0,63,Denmark,1,1,11,21,25,vZ47oMWH-MaBe3yub.png,CHI,UoKg0KMC,Chi Y. J.,Chi Y. J.,WQx3QTFE,chi-yu-jen,0,218,Taiwan,218,Taiwan,2,2,21,9,27,r1bkihVH-vROp5awr.png,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,x01Sb2jJ,1777536600,1777536600,3,3,3,Wang Z. Y.,0,0,1777539400,0,-1,,LET,SOOGhpx8,Letshanaa K.,Letshanaa K.,CvwQp4be,karupathevan-letshanaa-a,1,1,0,121,Malaysia,0,0,17,18,,ENalLOAN-x2ON76kE.png,WAN,SvXcpLPt,Wang Z. Y.,Wang Z. Y.,4EZHnQTr,wang-zhiyi,0,52,China,52,China,2,2,21,21,,pvpD6G7k-44UBA9iK.png,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2uIw6Jcn,1777536600,1777536600,3,3,3,Yamaguchi A.,0,0,1777539478,0,-1,,INT,4CEwVcY9,Intanon R.,Intanon R.,jkOJ6oLE,intanon-ratchanok,1,1,0,186,Thailand,0,0,20,15,,2LHxJqA6-Spvaw1Sh.png,YAM,pKuBkeNb,Yamaguchi A.,Yamaguchi A.,phyYrrT7,yamaguchi-akane,0,100,Japan,100,Japan,2,2,22,21,,EJuPK086-xIb10BZQ.png,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,8KTh2ycB,1777543800,1777543800,3,3,3,Miyazaki T.,0,0,1777548742,0,-1,,CHO,GKVi2Jal,Chochuwong Po.,Chochuwong Po.,UZ9ErZYO,chochuwong-pornpawee,2,2,0,186,Thailand,2,2,15,21,21,EH8fmdS0-4lWrAiWQ.png,MIY,Eq6xmXhj,Miyazaki T.,Miyazaki T.,xSi7pe4C,miyazaki-tomoka,0,100,Japan,100,Japan,1,1,21,16,19,IH730XA6-tKI60nSs.png,,,,,,,,,,,,,
