SA,ZA,ZEE,ZB,ZC,ZD,ZE,ZF,ZH,ZJ,ZL,OAJ,ZX,ZHS,ZCC,TSS,ZAF,AA,AD,ADE,AB,CR,AC,CX,RW,AX,AO,BW,BX,WL,WN,PY,AF,FK,JB,WV,GRB,CB,FV,AH,AU,BB,BD,BF,OB,WM,PX,AE,FH,JA,WU,AS,AZ,GRA,CA,FU,CY,CC,AG,AT,BA,BC,BE,OA,AM,FJ,GA,FW,FL,GB,FX,ZO,ZG,AL,AN,A1
,,,,,,,,,,,,,,,,,GWwRPU0l,1777623000,1777623000,3,3,3,Sen L.,0,0,1777628318,0,-1,,CHO,C0M90JJT,Chou T. Ch.,Chou T. Ch.,lWWkQQeB,chou-tien-chen,0,218,Taiwan,1,1,21,20,17,zeFeUbBN-IL3mjpHB.png,SEN,xnv5nIsk,Sen L.,Sen L.,t6TsSnRb,sen-lakshya,1,1,0,93,India,93,India,2,2,18,22,21,AFS6tp7k-0h1QlijR.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,IuYQKrJi,1777623000,1777623000,3,3,3,Shi Y. Q.,0,0,1777626972,0,-1,,LEO,4hdDjbY5,Leong J. H.,Leong J. H.,UDfyzsOq,leong-jun-hao,0,121,Malaysia,1,1,10,21,9,CG44ZvhT-25LsSXmr.png,SHI,x8Xz13yt,Shi Y. Q.,Shi Y. Q.,pOX3hkvB,shi-yuqi,1,1,0,52,China,52,China,2,2,21,16,21,AcLvlI5k-ruDQA1oF.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,bJZtH0IG,1777630200,1777630200,3,3,3,Li S. F.,0,0,1777632944,0,-1,,HOH,Ig3dxk1m,Hoh J.,Hoh J.,reiohtpS,hoh-justin-shou-wei,0,121,Malaysia,0,0,14,13,,pbbq6FSq-bwIgPVX0.png,LI,UZkoU7Tu,Li S. F.,Li S. F.,xblwf2FF,li-shifeng,1,1,0,52,China,52,China,2,2,21,21,,GbtUdgWH-K2BU9L0L.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,lpxZN8V0,1777634100,1777634100,3,3,3,Shetty A.,0,0,1777636908,0,-1,,LIN,6qDZ6CZ3,Lin Chun-Yi,Lin Chun-Yi,hSLTIrlo,lin-chun-yi,0,218,Taiwan,0,0,16,17,,rF1VcliT-2ZO7QzA8.png,SHE,6gsdLX3P,Shetty A.,Shetty A.,ddzbO4QN,shetty-ayush,1,1,0,93,India,93,India,2,2,21,21,,UNcIbHBN-Yaztawf5.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,C0CgrwHF,1777637100,1777637100,3,3,5,Weng H. Y.,0,0,,0,-1,,LEE,fkHsTftd,Lee Z. J.,Lee Z. J.,8hVZT8dn,lee-zii-jia,0,121,Malaysia,,,,,,GQrlYxle-ruDQA1oF.png,WEN,0rMDF0d6,Weng H. Y.,Weng H. Y.,bVaPMikJ,weng-hongyang,,,0,52,China,52,China,,,,,,4jRexnlC-2ZO7QzA8.png,Tie decided.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,dAusMn0D,1777640400,1777640400,3,3,5,Srikanth K.,0,0,,0,-1,,CHI,UoKg0KMC,Chi Y. J.,Chi Y. J.,6kCNvQA4,chi-yu-jen,0,218,Taiwan,,,,,,r1bkihVH-vROp5awr.png,SRI,zq9lAhel,Srikanth K.,Srikanth K.,bP8Ftnth,srikanth-kidambi,,,0,93,India,93,India,,,,,,EFJT2mhT-IL3mjpHB.png,Tie decided.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,xdsu24s0,1777565400,1777565400,3,3,3,Chiu P.,0,0,1777567687,0,-1,,AN,CChiNgrS,An S. Y.,An S. Y.,tMZUPGJM,an-se-young,0,106,South Korea,2,2,21,21,,E77d56jT-EThGTIUN.png,CHI,QgREEcn8,Chiu P.,Chiu P.,YeWMRxkA,chiu-pin-chian,2,2,0,218,Taiwan,218,Taiwan,0,0,7,8,,txAyE4gT-AVprAkir.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4rqX3QCm,1777565400,1777565400,3,3,3,Christophersen L.,0,0,1777567799,0,-1,,WAR,Wft9q7tD,Wardani P. K.,Wardani P. K.,0rYETbKc,wardani-putri-kusuma,0,228,Indonesia,2,2,21,21,,8Y49GbS0-6TjfJEjI.png,CHR,W4BwLm2t,Christophersen L.,Christophersen L.,lfRT5eSj,christophersen-line,2,2,0,63,Denmark,63,Denmark,0,0,12,15,,06KNUKjT-YRn3qYc4.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,pMpm0rCC,1777568400,1777568400,3,3,3,Kjaersfeldt L. H.,0,0,1777570905,0,-1,,PRA,vwbbWLUH,Pratiwi N. K. D. A.,Pratiwi N. K. D. A.,pIO8IYBd,pratiwi-ni,0,228,Indonesia,0,0,15,16,,r7uuOVQq-bamWvFso.png,KJA,WnlV3Cq0,Kjaersfeldt L. H.,Kjaersfeldt L. H.,C4Q0Kfsp,kjaersfeldt-line-hojmark,1,1,0,63,Denmark,63,Denmark,2,2,21,21,,bm9LSqme-zeig6BPa.png,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0jEeWl8E,1777573200,1777573200,3,3,3,Lin H. T.,0,0,1777575712,0,-1,,KIM,ju7mEOC7,Kim G. E.,Kim G. E.,vXDQQBM6,kim-ga-eun,0,106,South Korea,0,0,15,17,,MDWuTwle-ShQLS8eS.png,LIN,nm24F6iE,Lin H. T.,Lin H. T.,W6AISXif,lin-hsiang-ti,1,1,0,218,Taiwan,218,Taiwan,2,2,21,21,,jsltEule-hpoee7vH.png,,,,,,,,,,,,
